dept_res,lat_res,lon_res,dept_work,lat_work,lon_work,flow_weight
02,49.564665,3.620686,51,48.9566218,4.3628851,1814
02,49.564665,3.620686,75,48.8566969,2.3514616,1278
02,49.564665,3.620686,77,48.539927,2.6608169,1003
02,49.564665,3.620686,92,48.8924273,2.2071267,271
02,49.564665,3.620686,93,48.906387,2.4452231,563
02,49.564665,3.620686,94,48.7771486,2.4530731,168
02,49.564665,3.620686,95,49.0508845,2.1008067,439
03,49.4217,3.6847,18,47.0805693,2.398932,200
03,49.4217,3.6847,23,46.1686865,1.8713349,154
03,49.4217,3.6847,58,46.9876601,3.1577203,183
03,49.4217,3.6847,71,46.3036683,4.8322266,344
07,44.7352708,4.5986733,30,43.8374249,4.3600687,234
07,44.7352708,4.5986733,84,43.9492493,4.8059012,146
08,49.7735712,4.7206939,02,49.564665,3.620686,136
10,48.2971626,4.0746257,89,47.7961287,3.570579,358
14,49.1828008,-0.3690815,75,48.8566969,2.3514616,486
14,49.1828008,-0.3690815,92,48.8924273,2.2071267,172
15,44.9285441,2.4433101,12,44.3513062,2.5727883,128
18,47.0805693,2.398932,58,46.9876601,3.1577203,1012
19,45.2678158,1.7706904,15,44.9285441,2.4433101,124
19,45.2678158,1.7706904,46,44.4495,1.4364999,406
21,47.3215806,5.0414701,69,45.7578137,4.8320114,219
22,48.5141594,-2.7602707,44,47.2186371,-1.5541362,103
24,45.1909365,0.7184407,46,44.4495,1.4364999,170
26,44.9332277,4.8920811,13,43.2961743,5.3699525,133
26,44.9332277,4.8920811,30,43.8374249,4.3600687,205
26,44.9332277,4.8920811,84,43.9492493,4.8059012,1091
27,49.0268903,1.1510164,28,48.4438601,1.4881434,1023
27,49.0268903,1.1510164,75,48.8566969,2.3514616,1734
27,49.0268903,1.1510164,78,48.8035403,2.1266886,2833
27,49.0268903,1.1510164,91,48.26406,3.25604,109
27,49.0268903,1.1510164,92,48.8924273,2.2071267,994
27,49.0268903,1.1510164,93,48.906387,2.4452231,286
27,49.0268903,1.1510164,94,48.7771486,2.4530731,157
28,48.4438601,1.4881434,61,48.4312059,0.0911374,211
28,48.4438601,1.4881434,72,48.0073498,0.1967379,123
28,48.4438601,1.4881434,91,48.26406,3.25604,965
29,47.9960325,-4.1024782,44,47.2186371,-1.5541362,180
30,43.8374249,4.3600687,13,43.2961743,5.3699525,2674
31,43.6044622,1.4442469,64,43.2957547,-0.3685668,115
33,44.841225,-0.5800364,31,43.6044622,1.4442469,278
34,43.6112422,3.8767337,13,43.2961743,5.3699525,465
35,48.1113387,-1.6800198,44,47.2186371,-1.5541362,885
35,48.1113387,-1.6800198,49,47.4739884,-0.5515588,108
35,48.1113387,-1.6800198,53,48.0710377,-0.7723499,1136
37,47.3900474,0.6889268,86,46.5802596,0.340196,562
39,46.6739021,5.5586167,01,46.2051192,5.2250324,685
40,43.8911318,-0.500972,32,43.6463558,0.5850507,238
44,47.2186371,-1.5541362,79,46.3239455,-0.4645212,105
45,47.9027336,1.9086066,89,47.7961287,3.570579,261
47,44.2015624,0.6176324,31,43.6044622,1.4442469,172
47,44.2015624,0.6176324,32,43.6463558,0.5850507,151
47,44.2015624,0.6176324,82,44.0175835,1.3549991,277
49,47.4739884,-0.5515588,37,47.3900474,0.6889268,555
49,47.4739884,-0.5515588,79,46.3239455,-0.4645212,573
50,49.1157004,-1.0906637,35,48.1113387,-1.6800198,438
50,49.1157004,-1.0906637,75,48.8566969,2.3514616,114
51,48.9566218,4.3628851,75,48.8566969,2.3514616,620
51,48.9566218,4.3628851,77,48.539927,2.6608169,358
51,48.9566218,4.3628851,92,48.8924273,2.2071267,212
51,48.9566218,4.3628851,93,48.906387,2.4452231,184
51,48.9566218,4.3628851,94,48.7771486,2.4530731,113
52,48.1111324,5.1395849,21,47.3215806,5.0414701,217
56,47.6586772,-2.7599079,44,47.2186371,-1.5541362,1189
57,49.1196964,6.1763552,75,48.8566969,2.3514616,286
57,49.1196964,6.1763552,92,48.8924273,2.2071267,118
59,50.6365654,3.0635282,69,45.7578137,4.8320114,108
59,50.6365654,3.0635282,75,48.8566969,2.3514616,1468
59,50.6365654,3.0635282,76,49.4404591,1.0939658,136
59,50.6365654,3.0635282,77,48.539927,2.6608169,159
59,50.6365654,3.0635282,78,48.8035403,2.1266886,219
59,50.6365654,3.0635282,91,48.26406,3.25604,135
59,50.6365654,3.0635282,92,48.8924273,2.2071267,552
59,50.6365654,3.0635282,93,48.906387,2.4452231,347
59,50.6365654,3.0635282,94,48.7771486,2.4530731,167
59,50.6365654,3.0635282,95,49.0508845,2.1008067,249
60,49.4300997,2.0823355,27,49.0268903,1.1510164,318
60,49.4300997,2.0823355,75,48.8566969,2.3514616,5542
60,49.4300997,2.0823355,77,48.539927,2.6608169,1178
60,49.4300997,2.0823355,78,48.8035403,2.1266886,566
60,49.4300997,2.0823355,91,48.26406,3.25604,218
60,49.4300997,2.0823355,92,48.8924273,2.2071267,1951
60,49.4300997,2.0823355,93,48.906387,2.4452231,3536
60,49.4300997,2.0823355,94,48.7771486,2.4530731,519
60,49.4300997,2.0823355,95,49.0508845,2.1008067,8561
61,48.4312059,0.0911374,53,48.0710377,-0.7723499,262
