dept_res,lat_res,lon_res,dept_work,lat_work,lon_work,flow_weight
01,46.2051192,5.2250324,39,46.6739021,5.5586167,314
01,46.2051192,5.2250324,71,46.3036683,4.8322266,1949
02,49.564665,3.620686,08,49.7735712,4.7206939,117
06,43.7009358,7.2683912,75,48.8566969,2.3514616,353
06,43.7009358,7.2683912,92,48.8924273,2.2071267,157
06,43.7009358,7.2683912,95,49.0508845,2.1008067,100
10,48.2971626,4.0746257,75,48.8566969,2.3514616,404
10,48.2971626,4.0746257,77,48.539927,2.6608169,421
13,43.2961743,5.3699525,26,44.9332277,4.8920811,143
13,43.2961743,5.3699525,30,43.8374249,4.3600687,1064
13,43.2961743,5.3699525,34,43.6112422,3.8767337,233
13,43.2961743,5.3699525,38,45.1875602,5.7357819,113
13,43.2961743,5.3699525,69,45.7578137,4.8320114,315
13,43.2961743,5.3699525,75,48.8566969,2.3514616,817
13,43.2961743,5.3699525,92,48.8924273,2.2071267,318
13,43.2961743,5.3699525,93,48.906387,2.4452231,125
13,43.2961743,5.3699525,95,49.0508845,2.1008067,149
15,44.9285441,2.4433101,19,45.2678158,1.7706904,248
17,46.1591126,-1.1520434,75,48.8566969,2.3514616,191
17,46.1591126,-1.1520434,85,46.6705431,-1.4269698,244
18,47.0805693,2.398932,03,49.4217,3.6847,188
18,47.0805693,2.398932,75,48.8566969,2.3514616,159
21,47.3215806,5.0414701,52,48.1111324,5.1395849,142
21,47.3215806,5.0414701,75,48.8566969,2.3514616,282
21,47.3215806,5.0414701,92,48.8924273,2.2071267,126
22,48.5141594,-2.7602707,75,48.8566969,2.3514616,128
23,46.1686865,1.8713349,03,49.4217,3.6847,156
23,46.1686865,1.8713349,36,46.8047,1.6957099,137
25,47.2380222,6.0243622,68,48.0777517,7.3579641,218
26,44.9332277,4.8920811,75,48.8566969,2.3514616,116
27,49.0268903,1.1510164,60,49.4300997,2.0823355,366
27,49.0268903,1.1510164,95,49.0508845,2.1008067,1298
28,48.4438601,1.4881434,27,49.0268903,1.1510164,498
